date	iso2c	res	exr	d_exr	capital_gains
2011-01-01	RO	48189.0209086277	3.3393	0.13480000000000025	6479.209544323555
2012-01-01	RO	46711.3877297631	3.3575	0.018199999999999772	877.0401805370132
2013-01-01	RO	48819.8191931707	3.2551	-0.10239999999999982	-4783.246103527733
2014-01-01	RO	43164.1571165666	3.6868	0.43169999999999975	21075.51594569178
2015-01-01	RO	38708.863383129	4.1477	0.46090000000000053	19894.36001502557
2016-01-01	RO	39999.2982035803	4.3033	0.15559999999999974	6023.099142414862
2017-01-01	RO	44431.9904127036	3.8915	-0.41179999999999994	-16471.711000234365
2018-01-01	RO	42132.7978675663	4.0736	0.1820999999999997	8091.065454153312
2019-01-01	RO	42005.7316962544	4.2608	0.1871999999999998	7887.259760808404
2002-01-01	RU	47792.9011670147	31.7844	NA	NA
2003-01-01	RU	76938.3467206866	29.4545	-2.329900000000002	-111352.68042902765
2004-01-01	RU	124541.19829573	27.7487	-1.7058	-131241.4318361472
2005-01-01	RU	182240.409917674	28.7825	1.0337999999999994	128750.69079812561
2006-01-01	RU	303731.970300098	26.3311	-2.4513999999999996	-446744.140872186
2007-01-01	RU	478762.31988205	24.5462	-1.7849000000000004	-542131.1937886451
2008-01-01	RU	426282.999971659	29.3804	4.834200000000003	2314432.8067738074
2009-01-01	RU	439446.592265015	30.2442	0.8637999999999977	368223.25537551806
2010-01-01	RU	479373.971721266	30.4769	0.23270000000000124	102259.22202006953
2011-01-01	RU	498644.884789354	32.1961	1.7192000000000007	824139.7321832009
2012-01-01	RU	537616.120807129	30.3727	-1.823400000000003	-909229.0829249095
2013-01-01	RU	509592.600888888	32.7292	2.3565000000000005	1266892.3886819996
2014-01-01	RU	385458.87553923	56.2584	23.529200000000003	11990306.224834826
